  n v                   Fn         time
 45  1           1134903170  4.468750000
 45  2           1134903170  0.000000000
 45  3           1134903170  0.000000000
 45  4           1134903170  0.000000000
--- -- -------------------- ------------
 46  1           1836311903  7.234375000
 46  2           1836311903  0.000000000
 46  3           1836311903  0.000000000
 46  4           1836311903  0.000000000
--- -- -------------------- ------------
 47  1           2971215073 11.906250000
 47  2           2971215073  0.000000000
 47  3           2971215073  0.000000000
 47  4           2971215073  0.000000000
--- -- -------------------- ------------
 48  2           4807526976  0.000000000
 48  3           4807526976  0.000000000
 48  4           4807526976  0.000000000
--- -- -------------------- ------------
 49  2           7778742049  0.000000000
 49  3           7778742049  0.000000000
 49  4           7778742049  0.000000000
--- -- -------------------- ------------
 50  2          12586269025  0.000000000
 50  3          12586269025  0.000000000
 50  4          12586269025  0.000000000
--- -- -------------------- ------------
 51  2          20365011074  0.000000000
 51  3          20365011074  0.000000000
 51  4          20365011074  0.000000000
--- -- -------------------- ------------
 52  2          32951280099  0.000000000
 52  3          32951280099  0.000000000
 52  4          32951280099  0.000000000
--- -- -------------------- ------------
 53  2          53316291173  0.000000000
 53  3          53316291173  0.000000000
 53  4          53316291173  0.000000000
--- -- -------------------- ------------
 54  2          86267571272  0.000000000
 54  3          86267571272  0.000000000
 54  4          86267571272  0.000000000
--- -- -------------------- ------------
 55  2         139583862445  0.000000000
 55  3         139583862445  0.000000000
 55  4         139583862445  0.000000000
--- -- -------------------- ------------
 56  2         225851433717  0.000000000
 56  3         225851433717  0.000000000
 56  4         225851433717  0.000000000
--- -- -------------------- ------------
 57  2         365435296162  0.000000000
 57  3         365435296162  0.000000000
 57  4         365435296162  0.000000000
--- -- -------------------- ------------
 58  2         591286729879  0.000000000
 58  3         591286729879  0.000000000
 58  4         591286729879  0.000000000
--- -- -------------------- ------------
 59  2         956722026041  0.000000000
 59  3         956722026041  0.000000000
 59  4         956722026041  0.000000000
--- -- -------------------- ------------
 60  2        1548008755920  0.000000000
 60  3        1548008755920  0.000000000
 60  4        1548008755920  0.000000000
--- -- -------------------- ------------
 61  2        2504730781961  0.000000000
 61  3        2504730781961  0.000000000
 61  4        2504730781961  0.000000000
--- -- -------------------- ------------
 62  2        4052739537881  0.000000000
 62  3        4052739537881  0.000000000
 62  4        4052739537881  0.000000000
--- -- -------------------- ------------
 63  2        6557470319842  0.000000000
 63  3        6557470319842  0.000000000
 63  4        6557470319842  0.000000000
--- -- -------------------- ------------
 64  2       10610209857723  0.000000000
 64  3       10610209857723  0.000000000
 64  4       10610209857723  0.000000000
--- -- -------------------- ------------
 65  2       17167680177565  0.000000000
 65  3       17167680177565  0.000000000
 65  4       17167680177565  0.000000000
--- -- -------------------- ------------
 66  2       27777890035288  0.000000000
 66  3       27777890035288  0.000000000
 66  4       27777890035288  0.000000000
--- -- -------------------- ------------
 67  2       44945570212853  0.000000000
 67  3       44945570212853  0.000000000
 67  4       44945570212853  0.000000000
--- -- -------------------- ------------
 68  2       72723460248141  0.000000000
 68  3       72723460248141  0.000000000
 68  4       72723460248141  0.000000000
--- -- -------------------- ------------
 69  2      117669030460994  0.000000000
 69  3      117669030460994  0.000000000
 69  4      117669030460994  0.000000000
--- -- -------------------- ------------
 70  2      190392490709135  0.000000000
 70  3      190392490709135  0.000000000
 70  4      190392490709135  0.000000000
--- -- -------------------- ------------
 71  2      308061521170129  0.000000000
 71  3      308061521170129  0.000000000
 71  4      308061521170131  0.000000000
--- -- -------------------- ------------
 72  2      498454011879264  0.000000000
 72  3      498454011879264  0.000000000
 72  4      498454011879266  0.000000000
--- -- -------------------- ------------
 73  2      806515533049393  0.000000000
 73  3      806515533049393  0.000000000
 73  4      806515533049396  0.000000000
--- -- -------------------- ------------
 74  2     1304969544928657  0.000000000
 74  3     1304969544928657  0.000000000
 74  4     1304969544928661  0.000000000
--- -- -------------------- ------------
 75  2     2111485077978050  0.000000000
